iter	Logloss
0	0.6916000094
1	0.6896053578
2	0.6876066813
3	0.6864751397
4	0.6847883155
5	0.6834672287
6	0.6819348154
7	0.680511593
8	0.6790576399
9	0.6778621748
10	0.676614529
11	0.6752699563
12	0.6740373207
13	0.6727625904
14	0.6713653162
15	0.6706718167
16	0.6697330401
17	0.6689923318
18	0.6678070944
19	0.6670102755
20	0.6659285469
21	0.6649452606
22	0.6641361305
23	0.6635027191
24	0.6629020271
25	0.6621585251
26	0.6613818303
27	0.6605780981
28	0.6600906218
29	0.6589368727
30	0.6584283253
31	0.6577703389
32	0.6567115754
33	0.6559222379
34	0.6553945608
35	0.654740978
36	0.6540456791
37	0.6532705942
38	0.6527045156
39	0.6520604976
40	0.651464304
41	0.6509513529
42	0.6502891523
43	0.6493773183
44	0.6487479317
45	0.6478424427
46	0.6473216315
47	0.6464642509
48	0.6456183766
49	0.6449739798
50	0.6444013195
51	0.6438214144
52	0.6432374373
53	0.6426973069
54	0.6422534407
55	0.6417726409
56	0.6413393812
57	0.6407639745
58	0.6399937194
59	0.6394140038
60	0.6390533802
61	0.6385114979
62	0.6378546005
63	0.637238851
64	0.6368026556
65	0.6363490351
66	0.6359701342
67	0.6355204438
68	0.6352298994
69	0.6346316696
70	0.6338946547
71	0.6334331267
72	0.6330382212
73	0.6326546325
74	0.6322855805
75	0.631845455
76	0.6315186399
77	0.6310129809
78	0.6305684992
79	0.6300119381
80	0.6293929213
81	0.6288476297
82	0.6283403608
83	0.6279625963
84	0.6275771609
85	0.6269799255
86	0.6263997838
87	0.6260475887
88	0.6256126718
89	0.6251165776
90	0.6246880057
91	0.6242410143
92	0.6238060974
93	0.6234077827
94	0.6230884016
95	0.6226584092
96	0.622340354
97	0.6217924581
98	0.6212941385
99	0.6209954971
100	0.6206980869
101	0.6203146403
102	0.6197265436
103	0.6193961298
104	0.6189832784
105	0.6184655923
106	0.6181159541
107	0.6176942481
108	0.6171371188
109	0.616663611
110	0.6162209759
111	0.6159853584
112	0.6156326898
113	0.6151931798
114	0.614832793
115	0.6144403971
116	0.6140317599
117	0.6138353488
118	0.6133923349
119	0.6130002231
120	0.6125657797
121	0.6121978168
122	0.611970533
123	0.6116007708
124	0.6112906705
125	0.6109202454
126	0.6105782307
127	0.6101495167
128	0.6098861043
129	0.6096086761
130	0.6093119761
131	0.6089425927
132	0.6085666748
133	0.6082245654
134	0.6079013964
135	0.607540394
136	0.6073425624
137	0.6070042411
138	0.6067373721
139	0.6063585659
140	0.6060599718
141	0.6056437585
142	0.6053177484
143	0.60500386
144	0.6046017572
145	0.6042316635
146	0.6038908326
147	0.6035682317
148	0.6031400386
149	0.6027044588
150	0.6022889557
151	0.6019101494
152	0.6015487683
153	0.6012253624
154	0.600742858
155	0.6004191681
156	0.6001566553
157	0.5997992516
158	0.599537023
159	0.5990833078
160	0.5986652951
161	0.5985388212
162	0.5982495553
163	0.5979592003
164	0.5976827191
165	0.5973235634
166	0.596914358
167	0.5966786458
168	0.5963277765
169	0.5961757331
170	0.5957680429
171	0.5954136223
172	0.5951788098
173	0.5947133516
174	0.5943533436
175	0.5940689549
176	0.593876616
177	0.5936618328
178	0.5933943009
179	0.593145804
180	0.5928784615
181	0.5925620163
182	0.5922705249
183	0.5919319194
184	0.5915126756
185	0.5912282868
186	0.5909502904
187	0.5907295411
188	0.5902184841
189	0.5899031752
190	0.5895997988
191	0.5892748304
192	0.5889319634
193	0.5886304336
194	0.5882563624
195	0.5879708372
196	0.587730532
197	0.5874373833
198	0.5870946584
199	0.5868669485
200	0.5865583634
201	0.5862909736
202	0.5860325804
203	0.5857406155
204	0.5854655074
205	0.5851264758
206	0.5848720601
207	0.5845651797
208	0.5843731249
209	0.5841742043
210	0.5838531186
211	0.5835980873
212	0.583238032
213	0.5829749984
214	0.5826795769
215	0.5823752534
216	0.5820376424
217	0.5817372017
218	0.5815355347
219	0.5812935248
220	0.5809883017
221	0.5807159874
222	0.5803720786
223	0.580036409
224	0.5798509833
225	0.5795069325
226	0.5793134099
227	0.5789699747
228	0.5788159426
229	0.5785615742
230	0.5783053118
231	0.5779110692
232	0.5775937242
233	0.5772527039
234	0.5769483331
235	0.5765816013
236	0.5763159634
237	0.5760104088
238	0.5757272985
239	0.5755351491
240	0.5751808705
241	0.5749081774
242	0.5746924946
243	0.5745172967
244	0.5742035978
245	0.5740108801
246	0.5737110549
247	0.5734826821
248	0.5730836571
249	0.5728776812
250	0.57260835
251	0.5722261344
252	0.5718864873
253	0.5716627075
254	0.5712836172
255	0.5710422229
256	0.570825309
257	0.5704741556
258	0.5700653289
259	0.5697456638
260	0.5694670045
261	0.5692650534
262	0.5689748404
263	0.568723976
264	0.5684412919
265	0.5682306756
266	0.5680052385
267	0.5678477972
268	0.5675099493
269	0.5671622526
270	0.5668227475
271	0.5664687057
272	0.5659462372
273	0.5656804572
274	0.5654087111
275	0.565092834
276	0.5647999221
277	0.5645904423
278	0.5644049219
279	0.5640679264
280	0.5637665387
281	0.5635939451
282	0.5634325263
283	0.5631236571
284	0.5629647953
285	0.5628067857
286	0.5624931341
287	0.5622412753
288	0.5619122348
289	0.5617178598
290	0.5614172297
291	0.5611838377
292	0.560918768
293	0.5607181901
294	0.5604859819
295	0.5602524952
296	0.559863982
297	0.559664067
298	0.559333748
299	0.5591188702
300	0.5588454667
301	0.5587447043
302	0.558442701
303	0.5582425019
304	0.5580721812
305	0.5579879441
306	0.5577941847
307	0.5575132052
308	0.5573453467
309	0.5570552284
310	0.5568345738
311	0.5566340432
312	0.5563738507
313	0.5562203395
314	0.5560830222
315	0.5559343881
316	0.55565374
317	0.5553877233
318	0.5551914544
319	0.5550247796
320	0.5547440368
321	0.5544452534
322	0.5542023439
323	0.5539990196
324	0.5536515123
325	0.5533706748
326	0.5531834025
327	0.5529625111
328	0.5527360323
329	0.552363429
330	0.552165266
331	0.5518704127
332	0.5514986143
333	0.5513779645
334	0.5512135626
335	0.5509305944
336	0.5507129228
337	0.5504019229
338	0.5500758181
339	0.5498803067
340	0.5496943602
341	0.5494104923
342	0.5491644102
343	0.5489027498
344	0.548603777
345	0.5483303736
346	0.5481910202
347	0.5478850869
348	0.5476304344
349	0.5473170669
350	0.5470895937
351	0.5467920414
352	0.5465029176
353	0.5463930638
354	0.5461462715
355	0.5459879305
356	0.5457311472
357	0.5454705285
358	0.5452775267
359	0.5451100944
360	0.5447537797
361	0.544529337
362	0.5443509193
363	0.5441975501
364	0.5439726813
365	0.5437853616
366	0.5435128105
367	0.5432627983
368	0.5430811134
369	0.5428694081
370	0.5425831252
371	0.5423460872
372	0.5421112274
373	0.5419584737
374	0.5416670297
375	0.5414664991
376	0.5411706041
377	0.540917893
378	0.5406828437
379	0.5404717539
380	0.5402281815
381	0.5400632114
382	0.5398111158
383	0.5396710522
384	0.5394415903
385	0.5392347621
386	0.5390341842
387	0.538744871
388	0.5383813117
389	0.5381737258
390	0.5378855016
391	0.5375891805
392	0.5373530421
393	0.537033377
394	0.5367575113
395	0.5365239299
396	0.5363253408
397	0.5360967312
398	0.5359330869
399	0.5357374335
400	0.5355391758
401	0.5353286068
402	0.5350685564
403	0.5347362486
404	0.5344041302
405	0.5340723433
406	0.5338431655
407	0.533598504
408	0.5333794593
409	0.5331508497
410	0.5328675974
411	0.5325970824
412	0.5323589079
413	0.5321919964
414	0.5318558059
415	0.5315881793
416	0.5313496734
417	0.5312449335
418	0.5309389054
419	0.5307177772
420	0.5303808291
421	0.5301928465
422	0.5299540091
423	0.5297253996
424	0.5295098115
425	0.5292971591
