iter	Passed	Remaining
0	4	4820
1	8	4244
2	11	3957
3	15	3772
4	18	3729
5	22	3743
6	26	3728
7	29	3679
8	33	3644
9	37	3686
10	40	3668
11	44	3638
12	47	3624
13	51	3613
14	55	3621
15	58	3609
16	62	3591
17	65	3579
18	69	3602
19	73	3590
20	76	3574
21	80	3575
22	84	3585
23	88	3596
24	92	3596
25	95	3588
26	99	3581
27	103	3590
28	107	3585
29	110	3576
30	114	3566
31	118	3582
32	121	3574
33	125	3568
34	129	3561
35	132	3559
36	136	3555
37	140	3548
38	144	3550
39	147	3548
40	152	3559
41	155	3550
42	159	3546
43	162	3538
44	167	3544
45	170	3538
46	174	3533
47	177	3526
48	182	3532
49	185	3532
50	190	3539
51	193	3532
52	198	3538
53	201	3536
54	205	3531
55	209	3523
56	213	3530
57	217	3527
58	220	3521
59	224	3516
60	228	3513
61	232	3514
62	235	3508
63	239	3503
64	243	3496
65	247	3499
66	250	3495
67	254	3491
68	258	3485
69	262	3487
70	266	3482
71	269	3479
72	273	3473
73	277	3474
74	281	3470
75	285	3467
76	288	3463
77	292	3460
78	297	3464
79	301	3467
80	305	3462
81	308	3459
82	313	3458
83	317	3460
84	321	3457
85	325	3455
86	329	3457
87	333	3455
88	337	3453
89	341	3450
90	345	3453
91	349	3453
92	353	3447
93	357	3442
94	361	3441
95	365	3437
96	368	3432
97	372	3427
98	376	3428
99	380	3422
100	383	3416
101	387	3412
102	391	3412
103	396	3413
104	400	3414
105	404	3414
106	409	3420
107	413	3417
108	417	3411
109	420	3405
110	425	3405
111	428	3399
112	432	3393
113	435	3387
114	439	3382
115	443	3376
116	446	3369
117	450	3364
118	453	3359
119	457	3356
120	461	3351
121	464	3346
122	468	3341
123	472	3339
124	476	3333
125	479	3327
126	483	3321
127	486	3316
128	490	3312
129	494	3307
130	498	3304
131	501	3299
132	506	3298
133	510	3299
134	514	3295
135	517	3289
136	522	3289
137	525	3284
138	529	3279
139	532	3273
140	537	3272
141	540	3267
142	544	3262
143	548	3257
144	552	3254
145	555	3250
146	559	3245
147	562	3239
148	566	3234
149	570	3232
150	574	3227
151	577	3222
152	581	3216
153	585	3215
154	588	3210
155	592	3205
156	596	3200
157	600	3197
158	603	3194
159	607	3191
160	611	3187
161	615	3182
162	619	3181
163	623	3179
164	627	3175
165	632	3176
166	636	3177
167	641	3177
168	645	3173
169	649	3170
170	653	3166
171	656	3162
